f1,f2,f3,f4,f5,f6,f7,f8,div_f1_f2,div_f1_f3,div_f1_f4,div_f1_f6,div_f1_f8,div_f2_f3,div_f2_f4,div_f2_f6,div_f2_f8,div_f3_f4,div_f3_f6,div_f3_f8,div_f4_f6,div_f4_f8,div_f5_f6,div_f5_f8,div_f6_f8,div_f7_f8,num_points,num_big_letters,avg_word_len,num_words,avg_big_letters,avg_points
13,13,5.0,89,26,4.337078651685394,24,85,1.0,2.6,0.14606741573033707,2.99740932642487,0.15294117647058825,2.6,0.14606741573033707,2.99740932642487,0.15294117647058825,0.056179775280898875,1.1528497409326424,0.058823529411764705,20.520725388601033,1.0470588235294118,5.99481865284974,0.3058823529411765,0.051024454725710516,0.2823529411764706,2,2,7.0,2,1.0,1.0
8,8,4.25,147,30,4.306122448979592,81,132,1.0,1.8823529411764706,0.05442176870748299,1.85781990521327,0.06060606060606061,1.8823529411764706,0.05442176870748299,1.85781990521327,0.06060606060606061,0.02891156462585034,0.9869668246445497,0.032196969696969696,34.137440758293835,1.1136363636363635,6.966824644549762,0.22727272727272727,0.032622139764996914,0.6136363636363636,9,6,5.394736842105263,38,0.15789473684210525,0.23684210526315788
25,21,4.92,5,1,4.2,84,128,1.1904761904761905,5.08130081300813,5.0,5.9523809523809526,0.1953125,4.2682926829268295,4.2,5.0,0.1640625,0.984,1.1714285714285713,0.0384375,1.1904761904761905,0.0390625,0.23809523809523808,0.0078125,0.0328125,0.65625,3,1,4.571428571428571,14,0.07142857142857142,0.21428571428571427
8,8,5.0,213,24,3.746478873239437,10,10,1.0,1.6,0.03755868544600939,2.1353383458646613,0.8,1.6,0.03755868544600939,2.1353383458646613,0.8,0.023474178403755867,1.3345864661654134,0.5,56.85338345864661,21.3,6.406015037593985,2.4,0.3746478873239437,1.0,1,0,5.857142857142857,7,0.0,0.14285714285714285
2,2,1.0,314,5,3.3853503184713376,1,3,1.0,2.0,0.006369426751592357,0.5907808090310442,0.6666666666666666,2.0,0.006369426751592357,0.5907808090310442,0.6666666666666666,0.0031847133757961785,0.2953904045155221,0.3333333333333333,92.75258701787394,104.66666666666667,1.4769520225776105,1.6666666666666667,1.1284501061571126,0.3333333333333333,0,1,4.5,2,0.5,0.0
1,1,1.0,121,60,4.743801652892562,1,2,1.0,1.0,0.008264462809917356,0.210801393728223,0.5,1.0,0.008264462809917356,0.210801393728223,0.5,0.008264462809917356,0.210801393728223,0.5,25.506968641114984,60.5,12.648083623693381,30.0,2.371900826446281,0.5,1,1,6.5,4,0.25,0.25
20,20,4.15,2,0,5.0,56,106,1.0,4.8192771084337345,10.0,4.0,0.18867924528301888,4.8192771084337345,10.0,4.0,0.18867924528301888,2.075,0.8300000000000001,0.03915094339622642,0.4,0.018867924528301886,0.0,0.0,0.04716981132075472,0.5283018867924528,7,5,6.153846153846154,26,0.19230769230769232,0.2692307692307692
1,1,5.0,35,9,4.457142857142857,17,24,1.0,0.2,0.02857142857142857,0.22435897435897434,0.041666666666666664,0.2,0.02857142857142857,0.22435897435897434,0.041666666666666664,0.14285714285714285,1.1217948717948718,0.20833333333333334,7.852564102564102,1.4583333333333333,2.019230769230769,0.375,0.18571428571428572,0.7083333333333334,1,1,5.166666666666667,6,0.16666666666666666,0.16666666666666666
3,3,4.333333333333333,3,0,5.0,22,28,1.0,0.6923076923076924,1.0,0.6,0.10714285714285714,0.6923076923076924,1.0,0.6,0.10714285714285714,1.4444444444444444,0.8666666666666666,0.15476190476190474,0.6,0.10714285714285714,0.0,0.0,0.17857142857142858,0.7857142857142857,2,4,4.363636363636363,11,0.36363636363636365,0.18181818181818182
4,3,5.0,26,15,4.615384615384615,7,11,1.3333333333333333,0.8,0.15384615384615385,0.8666666666666667,0.36363636363636365,0.6,0.11538461538461539,0.65,0.2727272727272727,0.19230769230769232,1.0833333333333335,0.45454545454545453,5.633333333333334,2.3636363636363638,3.2500000000000004,1.3636363636363635,0.41958041958041953,0.6363636363636364,4,4,6.2,10,0.4,0.4
1,1,4.0,360,105,4.886111111111111,3,7,1.0,0.25,0.002777777777777778,0.20466173962478681,0.14285714285714285,0.25,0.002777777777777778,0.20466173962478681,0.14285714285714285,0.011111111111111112,0.8186469584991473,0.5714285714285714,73.67822626492325,51.42857142857143,21.489482660602615,15.0,0.698015873015873,0.42857142857142855,1,1,5.0,2,0.5,0.5
66,60,4.878787878787879,6,3,3.0,91,138,1.1,13.527950310559007,11.0,22.0,0.4782608695652174,12.298136645962733,10.0,20.0,0.43478260869565216,0.8131313131313131,1.6262626262626263,0.03535353535353535,2.0,0.043478260869565216,1.0,0.021739130434782608,0.021739130434782608,0.6594202898550725,2,1,5.6,5,0.2,0.4
