id1,id2,id3,text,f1,f2,f3,f4,f5,f6,f7,f8
15905620296099824378,1465556922863400660,4143344037578300006,Спасибо. Подошли.,13,13,5.0,89,26,4.337078651685394,24,85
18232447305563070067,18017526330779803302,8103632393244948483,"Согласна с отзывом о малом наполнении подушки. Прям удивление, 1000 не стоит. Голова проваливается полностью, чувствуется поверхность кровати. Если бы не муж забирал товар, вернула бы. Для тех кто любит очень тонкие подушки, и есть плюс - съемный чехол.",8,8,4.25,147,30,4.306122448979592,81,132
5577099441775746275,5901957705886426184,8451507874965552167,"Качество отличное, но цвет на картинке ближе к мерому, а по факту розовая пудра.",25,21,4.92,5,1,4.2,84,128
9498715584459478265,8968189881647284158,14684384080217274186,"фрезер топи топ советую начинающим, чтобы учится",8,8,5.0,213,24,3.746478873239437,10,10
3036997544516814097,3179960314802732626,9664308855231637699,Не получил,2,2,1.0,314,5,3.3853503184713376,1,3
11891169534951676723,7701289956868227069,7575206997360798122,Продавец прислал другой товар.,1,1,1.0,121,60,4.743801652892562,1,2
9569359380815307594,17620192542759059393,16944585785021488632,"Прекрасно все! Спасибо большое за качественный товар. Все пришло идеально упаковано, краски свежие, весь комплект полный. Рекомендую продавца! Буду заказывать с удовольствием и уверенно у вас.",20,20,4.15,2,0,5.0,56,106
13439964209797226745,13864445762702630471,11433829787589832391,"Много вещей этой фирмы, очень хорошие",1,1,5.0,35,9,4.457142857142857,17,24
13218970832973123490,12272371178306268068,16737168600834617193,Трекер по всем параметрам на 5 баллов из 5. Ребенок доволен.,3,3,4.333333333333333,3,0,5.0,22,28
13322011062262177508,2547269609437666687,7701105084956219625,Все пришло в целости. Упакован хорошо. Цвет соответствует. Спасибо большое.,4,3,5.0,26,15,4.615384615384615,7,11
2346496556876792926,17292803795903596230,8223254633971568382,Всё отлично!,1,1,4.0,360,105,4.886111111111111,3,7
10290045677365515382,6475037792027074838,4121196144893808119,"Чехол красивый, приятный на ощупь.",66,60,4.878787878787879,6,3,3.0,91,138
16380149441287377122,1196883937922769288,5315934344694799949,Перчатки супер!!!,14,13,4.571428571428571,77,22,4.428571428571429,123,208
7660930790419469606,12932466702639213763,6842160979308992702,"Не берите эту фигурку. Это брaк, который будет гулять дo тех пор, пoка кто-нибудь не пoпадётся. Сoтpудники Вaйлдбepиз в пунктe выдaчи поясняют, что у них нет инструментoв для того, чтoбы снять этот тoвар с прoдаж.",12,1,1.0,1,0,1.0,52,66
